DEPTH,BVW,CARB_FLAG,COAL_FLAG,KLOGH,KLOGV,PHIF,RHOFL,RHOMA,RW,SAND_FLAG,SW,TEMP,VSH
3775.5576,0.147136,0,0,0,0,0.165906,0.9,2.66,0.0214448,0,0.8869,113.9641,3.031
3775.71,0.140374,0,0,0,0,0.140374,0.9,2.66,0.0214442,0,1,113.9676,3.9269
3775.8624,0.089839,0,0,0,0,0.089839,0.9,2.66,0.0214437,0,1,113.9711,5.2239
3776.0148,0,0,0,0,-999.25,0,0.9,2.66,0.0214431,0,1,113.9746,7.2182
3776.1672,0,0,0,0,-999.25,0,0.9,2.66,0.0214426,0,1,113.9781,14.4241
3776.3196,0,0,0,0,-999.25,0,0.9,2.66,0.021442,0,1,113.9817,17.1151
3776.472,0.128236,0,0,0,-999.25,0.128236,0.9,2.66,0.0214415,0,1,113.9852,12.7453
3776.6244,0.105826,0,0,0,-999.25,0.174371,0.9,2.66,0.0214409,0,0.6069,113.9887,6.3047
3776.7768,0.081342,0,0,0,0,0.180106,0.9,2.66,0.0214403,0,0.4516,113.9922,3.8324
3776.9292,0.090594,0,0,0,0,0.176709,0.9,2.66,0.0214398,0,0.5127,113.9957,3.5964
3777.0816,0.098853,0,0,0,0,0.167058,0.9,2.66,0.0214392,0,0.5917,113.9993,2.4256
3777.234,0.091419,0,0,0,0,0.140376,0.9,2.66,0.0214387,0,0.6512,114.0028,1.4047
3777.3864,0.073723,0,0,0,0,0.138639,0.9,2.66,0.0214381,0,0.5318,114.0063,1.234
3777.5388,0.055101,0,0,0,0,0.105725,0.9,2.66,0.0214376,0,0.5212,114.0098,1.6277
3777.6912,0.06542,0,0,0,0,0.153346,0.9,2.66,0.021437,0,0.4266,114.0133,1.8286
3777.8436,0.079897,0,0,0,0,0.192562,0.9,2.66,0.0214364,0,0.4149,114.0169,1.8948
3777.996,0.085122,0,0,0,0,0.192614,0.9,2.66,0.0214359,0,0.4419,114.0204,1.9537
3778.1484,0.080314,0,0,0,0,0.194316,0.9,2.66,0.0214353,0,0.4133,114.0239,1.9373
3778.3008,0.074416,0,0,0,0,0.193183,0.9,2.66,0.0214348,0,0.3852,114.0274,1.9325
3778.4532,0.072423,0,0,0,0,0.18921,0.9,2.66,0.0214342,0,0.3828,114.031,1.9818
3778.6056,0.074981,0,0,0,0,0.189205,0.9,2.66,0.0214337,0,0.3963,114.0345,2.0246
3778.758,0.078563,0,0,0,0,0.185233,0.9,2.66,0.0214331,0,0.4241,114.038,1.9678
3778.9104,0.079429,0,0,0,0,0.192037,0.9,2.66,0.0214325,0,0.4136,114.0415,2.1309
3779.0628,0.074496,0,0,0,0,0.197152,0.9,2.66,0.021432,0,0.3779,114.0451,2.1762
3779.2152,0.068693,0,0,0,0,0.193187,0.9,2.66,0.0214314,0,0.3556,114.0486,2.1066
3779.3676,0.068938,0,0,0,0,0.194317,0.9,2.66,0.0214309,0,0.3548,114.0521,2.0445
3779.52,0.073133,0,0,0,0,0.189779,0.9,2.66,0.0214303,0,0.3854,114.0556,1.9882
3779.6724,0.076951,0,0,0,0,0.202824,0.9,2.66,0.0214298,0,0.3794,114.0591,1.9854
3779.8248,0.071801,0,0,0,0,0.204543,0.9,2.66,0.0214292,0,0.351,114.0627,1.963
3779.9772,0.065357,0,0,0,0,0.218164,0.9,2.66,0.0214286,0,0.2996,114.0662,1.8362
3780.1296,0.058326,0,0,0,0,0.200591,0.9,2.66,0.0214281,0,0.2908,114.0697,1.7811
3780.282,0.054128,0,0,0,0,0.18922,0.9,2.66,0.0214275,0,0.2861,114.0732,1.7692
3780.4344,0.043949,0,0,0,0,0.171614,0.9,2.66,0.021427,0,0.2561,114.0768,1.7979
3780.5868,0.041842,0,0,0,0,0.222093,0.9,2.66,0.0214264,0,0.1884,114.0803,1.8294
3780.7392,0.047796,0,0,0,0,0.244857,0.9,2.66,0.0214259,0,0.1952,114.0838,2.049
3780.8916,0.05789,0,0,0,0,0.251696,0.9,2.66,0.0214253,0,0.23,114.0873,2.031
3781.044,0.062617,0,0,0,0,0.251705,0.9,2.66,0.0214247,0,0.2488,114.0908,2.01
3781.1964,0.063862,0,0,0,0,0.244328,0.9,2.66,0.0214242,0,0.2614,114.0944,1.9528
3781.3488,0.064727,0,0,0,0,0.244318,0.9,2.66,0.0214236,0,0.2649,114.0979,1.8423
3781.5012,0.065891,0,0,0,0,0.248875,0.9,2.66,0.0214231,0,0.2648,114.1014,1.7913
3781.6536,0.06672,0,0,0,0,0.251133,0.9,2.66,0.0214225,0,0.2657,114.1049,1.8896
3781.806,0.065931,0,0,0,0,0.231276,0.9,2.66,0.021422,0,0.2851,114.1085,1.9059
3781.9584,0.067148,0,0,0,0,0.238059,0.9,2.66,0.0214214,0,0.2821,114.112,1.8844
3782.1108,0.068136,0,0,0,0,0.241473,0.9,2.66,0.0214209,0,0.2822,114.1155,1.871
3782.2632,0.066661,0,0,0,0,0.213673,0.9,2.66,0.0214203,0,0.312,114.119,1.8728
3782.4156,0.067319,0,0,0,0,0.207395,0.9,2.66,0.0214197,0,0.3246,114.1226,1.7427
3782.568,0.073549,0,0,0,0,0.193768,0.9,2.66,0.0214192,0,0.3796,114.1261,1.6721
3782.7204,0.07763,0,0,0,0,0.186373,0.9,2.66,0.0214186,0,0.4165,114.1296,1.6667
3782.8728,0.080177,0,0,0,0,0.210196,0.9,2.66,0.0214181,0,0.3814,114.1331,1.7764
3783.0252,0.074416,0,0,0,0,0.193772,0.9,2.66,0.0214175,0,0.384,114.1367,1.7475
3783.1776,0.066368,0,0,0,0,0.207936,0.9,2.66,0.021417,0,0.3192,114.1402,1.7692
3783.33,0.064584,0,0,0,0,0.214196,0.9,2.66,0.0214164,0,0.3015,114.1437,1.8375
3783.4824,0.066399,0,0,0,0,0.240307,0.9,2.66,0.0214158,0,0.2763,114.1472,1.8591
3783.6348,0.065018,0,0,0,0,0.219346,0.9,2.66,0.0214153,0,0.2964,114.1507,1.8735
3783.7872,0.063869,0,0,0,0,0.210807,0.9,2.66,0.0214147,0,0.303,114.1543,1.5401
3783.9396,0.062984,0,0,0,0,0.194907,0.9,2.66,0.0214142,0,0.3232,114.1578,1.5427
3784.092,0.067384,0,0,0,0,0.202831,0.9,2.66,0.0214136,0,0.3322,114.1613,1.5457
3784.2444,0.071646,0,0,0,0,0.218162,0.9,2.66,0.0214131,0,0.3284,114.1648,1.8128
3784.3968,0.072433,0,0,0,0,0.213642,0.9,2.66,0.0214125,0,0.339,114.1684,1.8554
3784.5492,0.070984,0,0,0,0,0.220446,0.9,2.66,0.021412,0,0.322,114.1719,1.9269
3784.7016,0.066195,0,0,0,0,0.237478,0.9,2.66,0.0214114,0,0.2787,114.1754,1.9014
3784.854,0.060412,0,0,0,0,0.223882,0.9,2.66,0.0214108,0,0.2698,114.1789,1.8257
3785.0064,0.060226,0,0,0,0,0.251668,0.9,2.66,0.0214103,0,0.2393,114.1825,1.8032
3785.1588,0.064626,0,0,0,0,0.252272,0.9,2.66,0.0214097,0,0.2562,114.186,1.7317
3785.3112,0.065757,0,0,0,0,0.223901,0.9,2.66,0.0214092,0,0.2937,114.1895,1.7549
3785.4636,0.066797,0,0,0,0,0.222161,0.9,2.66,0.0214086,0,0.3007,114.193,1.6951
